Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Nepal,MtCO2e,20.60,20.99,20.85,21.80,22.89,24.10,24.77,25.68,26.84,28.75,29.46,27.11,26.40,27.65,27.86,28.68,28.47,28.80,30.37,32.45,33.93,42.54,44.84,45.78,47.78,46.82,52.26,53.06,54.57
Chile,MtCO2e,30.34,29.62,31.95,33.32,36.84,40.30,46.64,53.95,55.16,57.97,54.22,33.28,34.08,34.93,40.23,40.85,42.17,50.39,55.06,52.36,57.15,18.43,20.68,23.68,17.45,23.21,50.37,52.77,51.77
Côte d'Ivoire,MtCO2e,69.67,75.40,80.99,86.68,92.51,92.50,92.25,93.13,93.17,94.44,93.64,58.12,57.46,54.69,52.33,52.82,50.99,49.91,48.89,46.98,45.94,44.83,45.79,47.09,47.05,48.10,49.41,49.77,49.55
Bahrain,MtCO2e,14.06,13.76,15.78,16.67,17.13,17.96,19.34,20.33,22.17,22.86,24.02,24.85,26.02,27.07,27.37,30.46,32.88,34.03,36.43,37.01,38.92,39.66,40.88,43.76,45.90,46.95,47.15,47.94,48.95
Denmark,MtCO2e,68.51,79.13,72.94,75.50,79.20,76.11,89.58,79.91,75.85,73.01,68.80,69.70,69.44,74.87,68.54,64.69,72.46,67.65,64.17,61.36,61.79,54.51,49.44,50.98,46.73,44.65,49.19,47.02,46.73
Solomon Islands,MtCO2e,4.31,4.32,4.34,4.35,4.37,4.39,4.40,4.42,4.43,4.45,4.47,2.26,2.28,2.30,2.35,2.39,2.39,2.41,2.40,2.42,2.44,-17.05,-17.03,-16.98,-17.01,-17.02,46.29,46.31,46.35
Syria,MtCO2e,57.85,62.21,63.36,63.85,67.26,71.42,74.64,75.09,78.35,77.33,77.34,77.86,78.47,78.81,81.14,92.26,96.24,99.92,101.03,95.80,95.31,88.89,75.26,55.61,48.43,43.71,44.93,47.55,46.32
Niger,MtCO2e,19.16,19.68,20.23,20.95,21.50,22.15,22.95,23.53,24.52,25.16,26.02,22.31,23.13,24.06,24.95,25.88,26.86,28.09,29.36,30.74,30.90,32.52,34.98,36.81,39.04,40.84,42.57,44.29,46.30
North Korea,MtCO2e,165.49,157.99,143.85,134.39,124.95,117.30,105.49,97.42,88.91,92.80,96.09,94.55,91.67,92.98,94.68,97.45,99.57,87.05,95.15,78.77,75.66,62.99,64.62,54.06,58.13,51.77,56.75,49.31,45.29
Somalia,MtCO2e,42.49,39.63,37.70,39.70,41.67,42.35,42.82,43.24,43.12,43.22,43.42,44.00,44.43,44.70,45.04,45.52,44.29,43.23,43.30,43.37,43.62,43.79,44.11,44.25,44.40,44.46,44.42,44.27,44.32
