Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sri Lanka,MtCO2e,0.15,0.32,0.79,0.42,0.44,0.35,1.21,1.50,1.33,1.56,3.32,3.07,3.51,3.96,4.45,4.65,3.40,4.11,4.02,4.12,3.41,5.19,6.51,4.08,6.84,6.81,8.71,9.70,8.14
Ecuador,MtCO2e,1.61,1.92,2.42,1.87,1.83,3.94,4.18,4.68,5.18,3.92,4.28,4.98,5.07,4.74,5.34,6.08,7.44,7.72,7.03,8.66,9.93,8.73,9.11,10.04,10.50,10.47,9.34,6.90,7.44
Angola,MtCO2e,0.48,0.44,0.37,0.31,0.38,0.38,0.41,0.63,0.59,0.84,0.94,1.04,1.04,1.22,0.86,0.97,1.07,1.19,1.59,2.46,2.61,2.45,2.93,4.33,6.00,6.42,6.68,7.24,7.12
Zimbabwe,MtCO2e,6.98,8.72,8.82,8.06,8.51,7.45,6.68,5.96,6.20,5.96,5.36,6.92,6.35,4.68,5.72,6.05,3.90,3.41,2.70,2.77,4.90,6.01,5.62,6.78,6.85,7.21,6.22,5.41,6.60
New Zealand,MtCO2e,4.53,4.93,6.10,5.33,4.65,4.34,5.27,7.42,6.96,8.11,7.90,9.58,8.65,10.17,9.83,11.77,11.73,10.17,11.06,8.93,8.48,7.93,9.33,8.25,7.35,7.25,6.12,6.97,6.36
Bolivia,MtCO2e,1.55,1.52,1.72,1.68,1.95,2.26,2.00,2.07,2.13,1.67,1.77,1.95,1.98,2.36,2.33,2.70,3.04,3.28,3.60,3.74,4.30,4.58,4.61,4.70,5.37,5.30,6.05,6.04,5.92
Guatemala,MtCO2e,0.24,0.29,0.90,0.91,0.99,1.11,1.02,1.06,2.05,1.81,2.43,2.54,3.10,3.08,3.46,3.40,3.09,3.28,3.03,3.59,2.63,2.65,2.94,3.44,3.61,4.85,5.21,4.12,5.42
Sudan,MtCO2e,0.51,0.58,0.51,0.89,0.67,0.89,1.02,1.13,0.93,1.12,1.47,1.52,2.15,2.37,2.49,2.75,3.44,3.52,3.89,3.28,1.64,2.20,2.09,1.94,2.32,4.13,4.95,5.10,5.32
Brunei,MtCO2e,2.54,2.61,2.71,2.95,3.17,3.47,3.58,3.87,3.24,3.15,3.42,3.29,3.30,4.13,3.78,3.70,4.21,3.76,3.93,5.13,5.15,5.16,4.98,4.96,4.83,4.08,4.63,4.79,5.21
Slovenia,MtCO2e,6.32,5.46,5.97,6.03,5.64,5.93,5.65,5.96,6.35,5.53,5.66,6.15,6.47,6.17,6.25,6.30,6.44,6.54,6.37,6.10,6.21,6.29,6.01,5.80,4.53,4.58,4.91,4.94,4.82
Botswana,MtCO2e,1.52,1.40,1.65,1.64,1.66,1.75,1.31,1.40,1.32,1.66,1.66,1.24,1.31,1.37,1.61,1.68,1.28,1.07,1.05,0.94,0.57,1.07,2.06,2.32,3.75,3.81,3.62,4.29,4.47
Senegal,MtCO2e,0.87,0.84,0.94,0.96,1.01,1.02,1.06,1.17,1.23,1.31,1.50,1.65,1.54,1.40,1.58,1.94,1.87,1.73,1.78,2.11,2.11,2.00,2.13,2.22,2.43,2.76,3.02,4.07,3.93
Croatia,MtCO2e,7.90,5.59,6.17,6.65,5.43,6.07,5.92,6.32,7.41,6.76,6.19,6.70,7.53,8.19,7.10,7.12,6.91,8.04,6.93,6.52,6.04,6.32,5.64,5.22,4.79,4.76,4.83,4.49,3.88
Macedonia,MtCO2e,5.62,5.67,5.67,5.90,5.92,6.07,6.58,6.06,6.95,6.26,6.13,6.51,5.81,6.10,5.94,5.91,5.88,6.02,6.05,5.81,5.30,5.95,5.69,4.78,4.44,4.00,3.58,4.14,3.61
Côte d'Ivoire,MtCO2e,0.59,0.63,0.69,0.91,1.05,1.02,1.49,2.13,2.47,2.51,2.37,2.47,2.63,2.19,2.33,3.13,2.34,2.45,2.84,2.52,2.91,2.80,3.64,3.61,3.93,3.96,3.55,3.91,3.57
Cambodia,MtCO2e,false,false,false,false,false,0.16,0.20,0.26,0.31,0.34,0.38,0.43,0.59,0.61,0.66,0.77,0.95,1.21,1.23,1.04,0.81,0.84,0.77,0.67,1.21,2.50,2.99,4.14,3.30
Cyprus,MtCO2e,1.76,1.82,2.12,2.24,2.37,2.17,2.28,2.41,2.64,2.82,2.96,2.84,3.00,3.52,3.31,3.49,3.56,3.74,3.89,3.93,3.79,3.65,3.46,2.77,2.87,2.94,3.21,3.22,3.27
Moldova,MtCO2e,13.66,12.67,13.13,10.49,8.07,6.20,5.99,5.15,4.96,4.37,4.07,4.32,4.02,4.20,3.70,3.78,3.81,3.71,3.73,3.80,3.73,3.53,3.57,2.81,3.28,3.63,3.57,3.01,3.26
Switzerland,MtCO2e,2.47,2.98,3.12,2.78,2.96,2.83,2.92,3.12,3.63,3.40,3.26,3.41,3.49,3.51,3.89,3.99,4.09,3.75,3.85,3.58,3.74,3.56,3.53,3.64,3.51,3.03,3.10,3.09,3.08
Honduras,MtCO2e,0.04,0.03,0.12,0.17,0.33,0.90,0.73,0.87,1.32,0.84,1.04,1.30,1.48,1.61,2.29,1.97,2.72,2.58,2.60,2.28,2.28,2.73,2.69,2.99,3.19,3.40,2.83,2.57,3.00
Ghana,MtCO2e,0.04,0.05,0.05,0.06,0.08,0.07,0.06,0.03,1.21,1.15,0.54,0.93,1.95,1.73,0.61,1.10,2.40,2.60,1.89,1.73,3.08,2.66,3.11,3.65,3.29,3.30,2.86,2.73,2.94
North Korea,MtCO2e,16.17,14.99,13.82,11.52,12.05,11.39,11.39,11.03,8.70,10.50,11.58,12.05,11.50,11.65,11.89,12.23,12.23,10.32,11.42,8.31,7.68,5.57,5.63,4.05,4.61,3.66,4.47,3.31,2.92
Papua New Guinea,MtCO2e,0.78,0.78,0.78,0.79,0.32,0.51,0.57,0.67,0.90,0.83,0.90,1.30,1.45,1.75,2.13,1.97,1.94,1.99,1.88,2.04,1.96,2.04,1.89,2.05,2.48,2.82,3.30,3.35,2.89
Zambia,MtCO2e,0.16,0.16,0.16,0.16,0.14,0.13,0.11,0.15,0.16,0.09,0.08,0.09,0.10,0.10,0.10,0.10,0.08,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.30,0.34,0.65,1.90,2.72
Yemen,MtCO2e,1.60,2.11,2.29,2.17,2.36,2.67,2.79,3.07,3.33,4.05,4.37,4.65,4.49,4.71,5.10,5.41,5.70,6.53,6.77,7.78,8.10,7.29,7.34,8.37,7.50,5.01,3.88,3.36,2.71
